"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QPPP";"SPPP";"SPPPr";"SAPP";"QPPa";"QPPr";"QPA";"IPT"
"1144";"31001017087P6";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"QUÍMICA BIOLÓGICA";"MESTRADO/DOUTORADO";44;2;0;1;2;0;1;0,0681818181818182
"1145";"31001017088P2";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ARQUITETURA";"MESTRADO/DOUTORADO";19;0;0;1;0;0;1;0,0526315789473684
"1146";"31001017089P9";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";1985;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"ARTES VISUAIS";"MESTRADO/DOUTORADO";28;0;1;0;0;1;0;0,0357142857142857
"1147";"31001017096P5";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1990;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"ECOLOGIA";"MESTRADO/DOUTORADO";27;0;0;0;0;0;0;0
"1148";"31001017097P1";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1988;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"TEORIA PSICANALÍTICA";"MESTRADO/DOUTORADO";10;0;0;0;0;0;0;0
"1149";"31001017098P8";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"PSICOLOGIA";"MESTRADO/DOUTORADO";17;0;1;0;0;1;0;0,0588235294117647
"1150";"31001017099P4";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO/DOUTORADO";27;4;3;0;4;3;0;0,259259259259259
"1151";"31001017100P2";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"BIOTECNOLOGIA VEGETAL";"MESTRADO/DOUTORADO";19;25;0;2;25;0;2;1,42105263157895
"1152";"31001017101P9";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";1992;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"PSICOSSOCIOLOGIA DE COMUNID.E ECOLOGIA SOCIAL";"MESTRADO/DOUTORADO";11;0;0;0;0;0;0;0
"1153";"31001017102P5";"ENGENHARIAS III";"ENGIII";"FEDERAL";"PÚBLICA";1991;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"PLANEJAMENTO ENERGÉTICO";"MESTRADO/DOUTORADO";12;0;0;4;0;0;4;0,333333333333333
"1154";"31001017103P1";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";1994;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"URBANISMO";"MESTRADO/DOUTORADO";20;0;0;8;0;0;8;0,4
"1155";"31001017105P4";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS MORFOLÓGICAS";"MESTRADO/DOUTORADO";32;0;0;0;0;0;0;0
"1156";"31001017106P0";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"EDUCAÇÃO EM CIÊNCIAS E SAÚDE";"MESTRADO/DOUTORADO";16;0;0;0;0;0;0;0
"1157";"31001017108P3";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"7";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS BIOLÓGICAS (FISIOLOGIA)";"MESTRADO/DOUTORADO";29;0;0;0;0;0;0;0
"1158";"31001017110P8";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";1997;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"INFORMÁTICA";"MESTRADO/DOUTORADO";28;3;0;0;3;0;0;0,107142857142857
"1159";"31001017111P4";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";1997;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"SAÚDE COLETIVA";"MESTRADO/DOUTORADO";25;0;0;0;0;0;0;0
"1160";"31001017112P0";"CIÊNCIA DE ALIMENTOS";"CALIM";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"CIÊNCIA DE ALIMENTOS";"MESTRADO/DOUTORADO";15;4;1;1;4;1;1;0,4
"1161";"31001017113P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS CONTÁBEIS";"MESTRADO/DOUTORADO";17;0;0;0;0;0;0;0
"1162";"31001017115P0";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2008;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA AMBIENTAL";"MESTRADO PROF.";29;1;1;1;1;1;1;0,103448275862069
"1163";"31001017118P9";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"ASTRONOMIA";"MESTRADO/DOUTORADO";17;0;0;0;0;0;0;0
"1164";"31001017119P5";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2002;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"HISTÓRIA COMPARADA";"MESTRADO/DOUTORADO";20;0;0;0;0;0;0;0
"1165";"31001017121P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"HISTÓRIA DAS CIÊNCIAS E DAS TÉCNICAS E EPISTEMOLOGIA";"MESTRADO/DOUTORADO";21;0;0;0;0;0;0;0
"1166";"31001017122P6";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"ENSINO DE MATEMÁTICA";"MESTRADO/DOUTORADO";17;0;0;0;0;0;0;0
"1167";"31001017123P2";"FILOSOFIA";"FILO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"LÓGICA E METAFÍSICA";"MESTRADO/DOUTORADO";21;0;0;0;0;0;0;0
"1168";"31001017125P5";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ARQUEOLOGIA";"MESTRADO/DOUTORADO";12;0;0;2;0;0;2;0,166666666666667
"1169";"31001017126P1";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2008;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"ENSINO DE FÍSICA";"MESTRADO PROF.";10;0;3;0;0;3;0;0,3
"1170";"31001017127P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"POLÍTICAS PÚBLICAS, ESTRATÉGIAS E DESENVOLVIMENTO";"MESTRADO/DOUTORADO";25;0;0;0;0;0;0;0
"1171";"31001017128P4";"MEDICINA III";"MEDIII";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS CIRÚRGICAS";"MESTRADO/DOUTORADO";14;0;1;0;0;1;0;0,0714285714285714
"1172";"31001017130P9";"DIREITO";"DIRE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"DIREITO";"MESTRADO/DOUTORADO";20;0;0;0;0;0;0;0
"1173";"31001017131P5";"EDUCAÇÃO FÍSICA";"EFIS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"EDUCAÇÃO FÍSICA";"MESTRADO/DOUTORADO";18;0;1;0;0;1;0;0,0555555555555556
"1174";"31001017132P1";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2009;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA URBANA";"MESTRADO PROF.";18;0;0;8;0;0;8;0,444444444444444
"1175";"31001017134P4";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2009;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"PROJETO DE ESTRUTURAS";"MESTRADO PROF.";14;0;0;1;0;0;1;0,0714285714285714
"1176";"31001017136P7";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2009;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"TECNOLOGIA DE PROCESSOS QUÍMICOS E BIOQUÍMICOS";"MESTRADO PROF.";36;20;0;0;20;0;0;0,555555555555556
"1177";"31001017137P3";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CPOL";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"ECONOMIA POLÍTICA INTERNACIONAL";"MESTRADO/DOUTORADO";12;0;0;0;0;0;0;0
"1178";"31001017138P0";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"CIÊNCIA DA INFORMAÇÃO - UFRJ - IBICT";"MESTRADO/DOUTORADO";19;0;2;0;0;2;0;0,105263157894737
"1179";"31001017139P6";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"METEOROLOGIA";"MESTRADO";15;0;3;2;0;3;2;0,333333333333333
"1180";"31001017141P0";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"4";"SUDESTE";"RJ";"FIOCRUZ";"BIOÉTICA, ÉTICA APLICADA E SAÚDE COLETIVA";"MESTRADO/DOUTORADO";32;0;0;1;0;0;1;0,03125
"1181";"31001017142P7";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"ARQUITETURA PAISAGÍSTICA";"MESTRADO PROF.";12;0;0;2;0;0;2;0,166666666666667
"1182";"31001017143P3";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"PRODUTOS BIOATIVOS E BIOCIÊNCIAS";"MESTRADO/DOUTORADO";23;2;0;0;2;0;0;0,0869565217391304
"1183";"31001017144P0";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"FORMAÇÃO CIENTÍFICA PARA PROFESSORES DE BIOLOGIA";"MESTRADO PROF.";21;0;0;0;0;0;0;0
"1184";"31001017145P6";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"CIÊNCIAS AMBIENTAIS E CONSERVAÇÃO";"MESTRADO/DOUTORADO";25;1;0;1;1;0;1;0,08
"1185";"31001017146P2";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"BIODIVERSIDADE E BIOLOGIA EVOLUTIVA";"MESTRADO/DOUTORADO";19;0;0;0;0;0;0;0
"1186";"31001017147P9";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"IMUNOLOGIA E INFLAMAÇAO";"MESTRADO/DOUTORADO";29;7;0;0;7;0;0;0,241379310344828
"1187";"31001017148P5";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"FORMAÇÃO PARA A PESQUISA BIOMÉDICA";"MESTRADO PROF.";33;1;0;0;1;0;0;0,0303030303030303
"1188";"31001017149P1";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"QUÍMICA BIOLÓGICA";"MESTRADO PROF.";13;0;10;1;0;10;1;0,846153846153846
"1189";"31001017150P0";"ARQUITETURA, URBANISMO E DESIGN";"ARQU";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"PROJETO E PATRIMÔNIO";"MESTRADO PROF.";12;0;0;0;0;0;0;0
"1190";"31001017151P6";"NUTRIÇÃO";"NUTR";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"NUTRIÇÃO CLÍNICA";"MESTRADO PROF.";10;0;0;0;0;0;0;0
"1191";"31001017152P2";"ODONTOLOGIA";"ODON";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"CLÍNICA ODONTOLÓGICA";"MESTRADO PROF.";24;0;0;0;0;0;0;0
"1192";"31001017153P9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;29;0;0;0;0;0;0;0
"1193";"31001017154P5";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2013;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"CIÊNCIA E TECNOLOGIA FARMACÊUTICA";"MESTRADO PROF.";21;4;0;0;4;0;0;0,19047619047619
"1194";"31001017155P1";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"4";"SUDESTE";"RJ";"UFRJ";"ENSINO DE HISTÓRIA";"MESTRADO PROF.";348;0;0;1;0;0;1;0,0028735632183908
"1195";"31001017156P8";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"ENSINO DE QUÍMICA";"MESTRADO PROF.";15;0;3;0;0;3;0;0,2
"1196";"31001017157P4";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"ARTES DA CENA";"MESTRADO";12;0;0;0;0;0;0;0
"1197";"31001017158P0";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA DA NANOTECNOLOGIA";"MESTRADO/DOUTORADO";9;0;0;0;0;0;0;0
"1198";"31001017159P7";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"TECNOLOGIA PARA O DESENVOLVIMENTO SOCIAL";"MESTRADO PROF.";17;0;0;0;0;0;0;0
"1199";"31001017160P5";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CPOL";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"POLÍTICAS PÚBLICAS EM DIREITOS HUMANOS";"MESTRADO";22;0;0;0;0;0;0;0
"1200";"31001017161P1";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRJ";"GEOCIÊNCIAS: PATRIMÔNIO GEOPALEONTOLÓGICO";"MESTRADO";16;0;0;0;0;0;0;0
"1201";"31001017162P8";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"PROGRAMA DE PÓS-GRADUAÇÃO EM SAÚDE PERINATAL";"MESTRADO PROF.";15;0;0;0;0;0;0;0
"1202";"31001017163P4";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"ATENÇÃO PRIMÁRIA À SAÚDE";"MESTRADO PROF.";21;0;0;0;0;0;0;0
"1203";"31001017165P7";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"MESTRADO PROFISSIONAL EM ATENÇÃO PSICOSSOCIAL";"MESTRADO PROF.";16;0;0;0;0;0;0;0
"1204";"31001017166P3";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"CRIAÇÃO E PRODUÇÃO DE CONTEÚDOS DIGITAIS";"MESTRADO PROF.";14;0;0;0;0;0;0;0
"1205";"31001017167P0";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"LINGUÍSTICA E LÍNGUAS INDÍGENAS";"MESTRADO PROF.";8;0;0;0;0;0;0;0
"1206";"31001017169P2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;205;0;0;0;0;0;0;0
"1207";"31001017170P0";"ARTES / MÚSICA";"ARTE";"FEDERAL";"PÚBLICA";2016;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRJ";"PROFISSIONAL EM MÚSICA";"MESTRADO PROF.";14;0;0;0;0;0;0;0
"1208";"31001017171P7";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRJ";"ENGENHARIA AMBIENTAL";"DOUTORADO";24;0;0;0;0;0;0;0
"1209";"31001017172P3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16;0;0;0;0;0;0;0
"1210";"31001017173P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;0;0;0;0;0;0;0
"1211";"31001017174P6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28;0;0;0;0;0;0;0
"1212";"31002013001P0";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1966;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"QUÍMICA";"MESTRADO/DOUTORADO";24;2;0;0;2;0;0;0,0833333333333333
"1213";"31002013002P7";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFRRJ";"AGRONOMIA (CIÊNCIAS DO SOLO)";"MESTRADO/DOUTORADO";20;1;0;2;1;0;2;0,15
"1214";"31002013003P3";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";1972;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRRJ";"CIÊNCIAS VETERINÁRIAS";"MESTRADO/DOUTORADO";28;3;10;0;3;10;0;0,464285714285714
"1215";"31002013006P2";"CIÊNCIA DE ALIMENTOS";"CALIM";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"CIÊNCIA E TECNOLOGIA DE ALIMENTOS";"MESTRADO/DOUTORADO";18;2;0;0;2;0;0;0,111111111111111
"1216";"31002013007P9";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";1976;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRRJ";"CIÊNCIAS SOCIAIS EM DESENVOLVIMENTO, AGRICULTURA E SOCIEDADE";"MESTRADO/DOUTORADO";17;0;0;0;0;0;0;0
"1217";"31002013010P0";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1989;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRRJ";"FITOTECNIA";"MESTRADO/DOUTORADO";15;1;0;0;1;0;0;0,0666666666666667
"1218";"31002013011P6";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1993;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"CIÊNCIAS AMBIENTAIS E FLORESTAIS";"MESTRADO/DOUTORADO";21;0;0;1;0;0;1;0,0476190476190476
"1219";"31002013012P2";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFRRJ";"BIOLOGIA ANIMAL";"MESTRADO/DOUTORADO";11;0;0;0;0;0;0;0
"1220";"31002013014P5";"ENGENHARIAS II";"ENGII";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"ENGENHARIA QUÍMICA";"MESTRADO";11;2;1;4;2;1;4;0,636363636363636
"1221";"31002013015P1";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2000;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRRJ";"GESTÃO E ESTRATÉGIA";"MESTRADO PROF.";16;0;0;7;0;0;7;0,4375
"1222";"31002013016P8";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"MEDICINA VETERINÁRIA (PATOLOGIA E CIÊNCIAS CLÍNICAS)";"MESTRADO/DOUTORADO";20;0;0;0;0;0;0;0
"1223";"31002013017P4";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"EDUCAÇÃO AGRÍCOLA";"MESTRADO";31;0;0;0;0;0;0;0
"1224";"31002013018P0";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"FITOSSANIDADE E BIOTECNOLOGIA APLICADA";"MESTRADO";12;0;0;0;0;0;0;0
"1225";"31002013019P7";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"HISTÓRIA";"MESTRADO/DOUTORADO";30;0;0;0;0;0;0;0
"1226";"31002013020P5";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"EDUCAÇÃO, CONTEXTOS CONTEMPORÂNEOS E DEMANDAS POPULARES";"MESTRADO/DOUTORADO";29;0;0;0;0;0;0;0
"1227";"31002013022P8";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"CIÊNCIA TECNOLOGIA E INOVAÇÃO EM AGROPECUÁRIA";"DOUTORADO";18;0;4;10;0;4;10;0,777777777777778
"1228";"31002013023P4";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2010;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRRJ";"AGRICULTURA ORGÂNICA";"MESTRADO PROF.";17;1;0;0;1;0;0;0,0588235294117647
"1229";"31002013024P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2011;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRRJ";"PRÁTICAS EM DESENVOLVIMENTO SUSTENTÁVEL";"MESTRADO PROF.";24;0;0;0;0;0;0;0
"1230";"31002013025P7";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"CIÊNCIAS SOCIAIS";"MESTRADO";22;0;0;0;0;0;0;0
"1231";"31002013026P3";"PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA";"PLUR";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"DESENVOLVIMENTO TERRITORIAL E POLÍTICAS PÚBLICAS";"MESTRADO";14;0;0;1;0;0;1;0,0714285714285714
"1232";"31002013027P0";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"PSICOLOGIA";"MESTRADO";14;0;0;0;0;0;0;0
"1233";"31002013028P6";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"MODELAGEM MATEMÁTICA E COMPUTACIONAL";"MESTRADO";18;1;0;5;1;0;5;0,333333333333333
"1234";"31002013029P2";"CIÊNCIAS BIOLÓGICAS II";"CBII";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"4";"SUDESTE";"RJ";"UFRRJ";"CIÊNCIAS FISIOLÓGICAS";"MESTRADO/DOUTORADO";14;1;1;0;1;1;0;0,142857142857143
"1235";"31002013030P0";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"ADMINISTRAÇÃO";"MESTRADO";11;0;0;0;0;0;0;0
"1236";"31002013031P7";"FILOSOFIA";"FILO";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"FILOSOFIA";"MESTRADO";15;0;0;0;0;0;0;0
"1237";"31002013032P3";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"ENGENHARIA AGRÍCOLA E AMBIENTAL";"MESTRADO";14;0;0;0;0;0;0;0
"1238";"31002013156P4";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2015;"PROFISSIONAL";"3";"SUDESTE";"RJ";"UFRRJ";"EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICA";"MESTRADO PROF.";13;0;1;0;0;1;0;0,0769230769230769
"1239";"31002013157P0";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2015;"ACADÊMICO";"3";"SUDESTE";"RJ";"UFRRJ";"GEOGRAFIA";"MESTRADO";18;0;0;0;0;0;0;0
"1240";"31003010001P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1971;"ACADÊMICO";"5";"SUDESTE";"RJ";"UFF";"EDUCAÇÃO";"MESTRADO/DOUTORADO";51;0;1;0;0;1;0;0,0196078431372549
"1241";"31003010002P7";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";1977;"ACADÊMICO";"6";"SUDESTE";"RJ";"UFF";"FÍSICA";"MESTRADO/DOUTORADO";51;0;0;0;0;0;0;0
